,Auteur,Identifiant auteur,Titre,Directeur de these,Directeur de these (nom prenom),Identifiant directeur,Etablissement de soutenance,Identifiant etablissement,Discipline,Statut,Date de premiere inscription en doctorat,Date de soutenance,Year,Langue de la these,Identifiant de la these,Accessible en ligne,Publication dans theses.fr,Mise a jour dans theses.fr,Discipline_prÃ©di,Genre,etablissement_rec,Langue_rec
87,Christiane Alvarez,,Voyage et transgression dans l'oeuvre d'alfredo bryce echenique,Maryse Renaud,Renaud Maryse,34119590,Poitiers,26403765,Etudes hispano-americaines,enCours,01-11-05,,,na,s17778,non,26-09-11,22-01-15,Biologie,female,Université de Poitiers,NA
88,Stephane Abadie,,"Sport, dependances et toxicomanie",Bernard Andrieu,Andrieu Bernard,na,Universite de Lorraine,157040569,Histoire des sciences et des techniques,enCours,21-11-05,,,na,s17802,non,26-09-11,28-06-13,Biologie,unknown,Université de Lorraine,NA
89,Moutai Chaouki,,La mesure comptable des marques.,Jacques Orsoni,Orsoni Jacques,27053741,Corte,29473284,Sciences de gestion,enCours,18-01-07,,,na,s27000,non,26-09-11,22-01-15,Economie Gestion,unknown,Université de Corse Pasquale Paoli,NA
90,Samvibol Chin,,Tourisme et developpement economique en asie du sud est : une analyse critique des cas du cambodge et du laos.,Paul-Marie Romani,Romani Paul-Marie,34388664,Corte,29473284,Sciences economiques,enCours,14-11-07,,,na,s27057,non,26-09-11,05-04-16,Economie Gestion,unknown,Université de Corse Pasquale Paoli,NA
91,Yann Chabanne,,Unite de la republique en droit fiscal,Ludovic Ayrault,Ayrault Ludovic,70273332,Rennes 1,02778715X,Droit public,enCours,29-11-07,,,na,s27063,non,26-09-11,22-01-15,Droit et Science Politique,male,Université de Rennes 1,NA
92,Paola Cesari,,Reflexions sur la mise en valeur des sites historiques et prehistoriques au sein du parc naturel regional de la corse.,Michel Weiss,Weiss Michel,na,Corte,29473284,Anthropologie,enCours,29-11-07,,,na,s27069,non,26-09-11,22-01-15,SHS,female,Université de Corse Pasquale Paoli,NA
93,Celine Charlotton,,La localisation de l'entreprise,Patrice Hoang,Hoang Patrice,69081379,Orleans,26402971,Droit prive,enCours,15-11-07,,,na,s27084,non,26-09-11,22-01-15,Droit et Science Politique,unknown,Université d'Orléans,NA
94,Emma Bell,,"L'etat britannique entre le social et le carceral : une etude du ""tournant punitif"" de la politique penale neo-travailliste (1997-2007)",Keith Dixon,Dixon Keith,na,Lyon 2,02640334X,Etudes anglophones,enCours,01-02-04,29-11-08,2008.0,na,s20392,non,26-09-11,06-10-14,Langues et Litteratures,female,Université Lumière - Lyon 2,NA
95,Fatou Ba,,L'interet de l'instauration d'un droit de la concurrence dans le processus de d'integration juridique de l'afrique.,Thierry Granier,Granier Thierry,na,Orleans,26402971,Droit prive,enCours,01-09-05,,,na,s20432,non,26-09-11,22-01-15,Droit et Science Politique,unknown,Université d'Orléans,NA
96,Waleed Ali,,L'influence de la conception du journalisme en ligne et le multimedia sur la credibilite des nouvelles,Mohamed Hassoun,Hassoun Mohamed,na,Lyon 2,02640334X,Sciences de l'information et de la communication,enCours,05-01-09,28-06-13,2013.0,na,s18940,non,26-09-11,30-03-16,SHS,male,Université Lumière - Lyon 2,NA
97,Jodie Andre,,Traduction et commentaire du roman moyen-anglais sir perceval of gales,Colette Stevanovitch,Stevanovitch Colette,33856621,Universite de Lorraine,157040569,Etudes anglophones,enCours,25-11-08,,,na,s18963,non,26-09-11,28-06-13,Langues et Litteratures,female,Université de Lorraine,NA
98,Jerome Audrain,,L'axe russie iran. approche geopolitique d'une cooperation energetique et de ses repercussions sur la situation regionale,Francoise Ardillier,Ardillier Francoise,35546298,Orleans,26402971,Geographie,enCours,26-11-08,,,na,s18973,non,26-09-11,05-04-16,SHS,male,Université d'Orléans,NA
99,Jacques Rodrigue Akou Meyong,,Madrid comme espace poetique chez Lope de Vega : las ferias de Madrid et el acero de Madrid,Narciso Alba,Alba Narciso,32793766,Perpignan,26403692,Etudes iberiques et latino americaines,enCours,27-01-09,26-06-14,2014.0,na,s19016,non,26-09-11,12-04-16,Biologie,male,Université de Perpignan Via Domitia,NA
100,Marie ange Agostini,,Place et renouveau de la danse sur l4espace public corse : aspect communicationnel.,Francoise Albertini,Albertini Francoise,na,Corte,29473284,Sciences de l'information et de la communication,enCours,29-01-09,,,na,s19029,non,26-09-11,22-01-15,SHS,female,Université de Corse Pasquale Paoli,NA
101,Marie Adrian,,Structures liturgiques du haut moyen age dans l'architecture romane meridionale,Francoise Robin,Robin Francoise,na,Montpellier 3,26404702,Histoire de l'art,enCours,15-10-08,,,na,s19033,non,26-09-11,22-01-15,SHS,female,Université Paul-Valéry - Montpellier 3,NA
102,Yara Arauz,,Les reseaux sociaux de la communication : quels enjeux juridiques ?,Jerome Huet,Huet Jerome,28397584,Paris 2,26403145,Droit prive,enCours,09-12-09,,,na,s19393,non,26-09-11,05-05-15,Droit et Science Politique,female,Université Panthéon-Assas,NA
103,Aman ghelich Atabaei,,Marche interbancaire et contagions en periode de crise financiere.,"Daniel Goyeau,Catherine Lubochinsky","Goyeau Daniel,Lubochinsky Catherine","562,440,960",Poitiers,26403765,Sciences economiques,enCours,26-11-09,,,na,s19417,non,26-09-11,22-01-15,Economie Gestion,male,Université de Poitiers,NA
104,Embarka Arour,,Impact des programmes de developpement nationaux et internationnaux sur l'amelioration de la situation socio-economique de la femme en steppe algerienne (et integration du concept genre).,Dominique Crozat,Crozat Dominique,56264445,Montpellier 3,26404702,Geographie,enCours,09-10-09,,,na,s19433,non,26-09-11,09-02-12,SHS,unknown,Université Paul-Valéry - Montpellier 3,NA
105,Marc Ascione,,Les problemes de l'interpretation de l'oeuvre de rimbaud.,Steve Murphy,Murphy Steve,29677947,Rennes 2,54447658,Litteratures francaise et francophone,enCours,16-11-09,,,na,s19484,non,26-09-11,22-01-15,Langues et Litteratures,male,Université Rennes 2,NA
106,Catherine Burtin,,L'imade du corps dans l'oeuvre d'anne hebert et jean marie gustave la clezio,Arlette Bouloumie,Bouloumie Arlette,29037441,Angers,26402920,Litteratures francaise et francophone,enCours,01-12-06,,,na,s21624,non,26-09-11,05-04-16,Langues et Litteratures,female,Université d'Angers,NA
107,Bertrand Baldet,,Le risque et son discours - les politiques de prevention dans le btp,Jean-Claude Lugan,Lugan Jean-Claude,02699769X,Toulouse 1,26404354,Sociologie,enCours,06-11-06,,,na,s21626,non,26-09-11,05-04-16,SHS,male,Université Toulouse Capitole,NA
108,Samuel Brosset,,"Les contextes d'interaction et d'integration des reseaux d'information islandais, entre rythme, contrainte et identite  ses limites et son exemplarite.","Catherine Bernie-Boissard,Dominique Crozat","Bernie-Boissard Catherine,Crozat Dominique","327,131,260",Montpellier 3,26404702,Geographie,enCours,31-10-06,,,na,s21628,non,26-09-11,05-04-16,SHS,male,Université Paul-Valéry - Montpellier 3,NA
109,Anne-laure Briatte,,Le mouvement feministe radical allemand et le cas de minna cauer (1841-1922),Monique Mombert,Mombert Monique,57447659,Strasbourg,131056549,Etudes germaniques,enCours,01-12-06,09-12-11,2011.0,na,s21641,non,26-09-11,16-01-12,SHS,female,Université de Strasbourg,NA
110,Cecile Chauvire,,"L'ancienne aristocratie republicaine de l'assassinat de cesar a la mort d'auguste, histoire et memoire des grandes familles dans le jeu politique de l'epoque augusteenne.",Frederic Hurlet,Hurlet Frederic,na,Nantes,26403447,Histoire ancienne,enCours,29-01-08,,,na,s27187,non,26-09-11,22-01-15,SHS,female,Université de Nantes,NA
111,Maria Cerullo,,Alphonse Daudet : romancier de famille,Anne-Simone Dufief,Dufief Anne-Simone,34482318,Angers,26402920,Litteratures et civilisations comparees,enCours,16-01-08,24-05-13,2013.0,na,s27196,non,26-09-11,05-04-16,Langues et Litteratures,female,Université d'Angers,NA
112,Pierre Clement,,Reformer les programmes pour changer l'ecole. Une sociologue histoirique du champ du pouvoir scolaire.,Bertrand Geay,Geay Bertrand,na,Amiens,26403714,Sociologie,enCours,31-01-08,11-03-13,2013.0,na,s27205,non,26-09-11,20-06-13,SHS,male,Université de Picardie Jules-Verne,NA
113,Alexandra Gattino,,La lutte mondiale contre la contrefacon de produits de luxe.,Thibaut Massart,Massart Thibaut,na,Orleans,26402971,Droit prive,enCours,01-12-04,,,na,s16940,non,26-09-11,21-01-15,Droit et Science Politique,female,Université d'Orléans,NA
114,Mokhtar Ben mahmoud,,Dutch disease et politique d'integration regionale dans les pays du golfe.,Philippe Norel,Norel Philippe,28618467,Poitiers,26403765,Sciences economiques,enCours,01-11-04,,,na,s16957,non,26-09-11,21-01-15,Economie Gestion,male,Université de Poitiers,NA
115,Elvire Guillaud,,Economie politique du modele social europeen : une comparaison france-allemagne.,Donatella Gatti,Gatti Donatella,69042950,Lyon 2,02640334X,Sciences economiques,enCours,01-12-04,30-09-08,2008.0,na,s16964,non,26-09-11,30-03-16,Economie Gestion,female,Université Lumière - Lyon 2,NA
116,Gofel anicet Ngoulou,,Une analyse comparative des modes de gouvernance d'entreprise.,Olivier Bouba-Olga,Bouba-Olga Olivier,60384778,Poitiers,26403765,Sciences economiques,enCours,01-12-04,,,na,s16967,non,26-09-11,05-04-16,Economie Gestion,unknown,Université de Poitiers,NA
117,Khemais Djedid,,Capital etranger et endettement : conversion de la dette.,Michel Castellani,Castellani Michel,na,Corte,29473284,Sciences economiques,enCours,01-11-04,,,na,s16969,non,26-09-11,21-01-15,Economie Gestion,unknown,Université de Corse Pasquale Paoli,NA
118,Paulo De assuncao,,La trame et le drame : la pensee economique du Pretre Antonio Vieira,Bernard Vincent,Vincent Bernard,na,"Paris, EHESS",26374889,Histoire,enCours,01-02-04,13-01-11,2011.0,na,s15639,non,26-09-11,24-02-12,SHS,male,EHESS,NA
119,Aurelie Pomes,,Le feminin dans la creation.,Michel Lapeyre,Lapeyre Michel,na,Montpellier 3,26404702,Psychologie,enCours,01-11-04,,,na,s16000,non,26-09-11,21-01-15,Psychologie,female,Université Paul-Valéry - Montpellier 3,NA
120,Anny Chastang,,La parole poetique en proces : insistance de la faute chez philippe saccottet.,Bernard Salignon,Salignon Bernard,32278632,Montpellier 3,26404702,Psychologie,enCours,01-11-04,,,na,s16003,non,26-09-11,21-01-15,Psychologie,female,Université Paul-Valéry - Montpellier 3,NA
121,Yanna Bambouvert,,Acquisiton de la morphosyntaxe chez les sujets attients du syndrome de williams.,Manuel Jimenez,Jimenez Manuel,na,Montpellier 3,26404702,Psychologie,enCours,01-10-04,,,na,s16008,non,26-09-11,25-03-16,Psychologie,female,Université Paul-Valéry - Montpellier 3,NA
122,Muriel Moussu,,"Lire avec la psychanalyse, declinaisons et passages",Bernard Salignon,Salignon Bernard,32278632,Montpellier 3,26404702,Psychanalyse,enCours,01-11-04,,,na,s16013,non,26-09-11,21-01-15,Biologie,female,Université Paul-Valéry - Montpellier 3,NA
123,Helene Mimet,,Etude des correlations entre art et folie.,Bernard Salignon,Salignon Bernard,32278632,Montpellier 3,26404702,Psychologie,enCours,01-11-04,,,na,s16014,non,26-09-11,21-01-15,Psychologie,female,Université Paul-Valéry - Montpellier 3,NA
124,Patrice Margot,,Un depassement de l'opposition psychogenese - organogenese dans la theorie du symptome humaine est-il possible ?,Jean-Claude Maleval,Maleval Jean-Claude,27003965,Rennes 2,54447658,Psychologie,enCours,01-11-04,,,na,s16029,non,26-09-11,04-04-16,Psychologie,male,Université Rennes 2,NA
125,Laurence Nogaret,,Fondements theoriques et mise en application de l'interdisciplinarite dans les itiniraires de decouverte dans un college du gard (2004-2006).,Richard Etienne,Etienne Richard,na,Montpellier 3,26404702,Sciences de l'education,enCours,01-11-04,,,na,s16031,non,26-09-11,21-01-15,Biologie,female,Université Paul-Valéry - Montpellier 3,NA
126,Ines ninon Lomba mombo,,L'estime de soi au sein de l'organisation.,Benedicte Gendron,Gendron Benedicte,69903905,Montpellier 3,26404702,Sciences de l'education,enCours,01-11-04,,,na,s16036,non,26-09-11,05-04-16,Biologie,female,Université Paul-Valéry - Montpellier 3,NA
127,Katia Simeon,,Du devenir adolescent a la delinquance : quelles approches cliniques et psychopatholgoiques ?,Francois Sauvagnat,Sauvagnat Francois,29635985,Rennes 2,54447658,Psychologie,enCours,01-11-04,,,na,s16039,non,26-09-11,04-04-16,Psychologie,female,Université Rennes 2,NA
128,Audrey Assoune,,L'accompagnement entrepreneurial : un passage par la compatibilite des styles au sein de la dyade accompagnateur-entrepreneur,"Patrick Valeau,Pierre Louart","Valeau Patrick,Louart Pierre","146,324,773",La Reunion,26404451,Sciences de gestion,enCours,01-10-05,10-12-09,2009.0,na,s17808,non,26-09-11,05-04-16,Economie Gestion,female,Université de La Réunion,NA
129,Samuel Bouron,,Les savoirs professionnels et leur apprentissage dans le secteur de la diffusion culturelle.,"Bertrand Geay,Laurent Willemez","Geay Bertrand,Willemez Laurent",66916615,Amiens,26403714,Sociologie,enCours,12-02-09,,,na,s23467,non,26-09-11,22-01-15,SHS,male,Université de Picardie Jules-Verne,NA
130,Faten Yaqoobi (Bahadly),,Le retour du mythe sur la scene theatrale francaise du xxeme siecle.,Thanh-von Ton-that,Ton-that Thanh-von,na,Pau,26403668,Litteratures francaise et francophone,enCours,16-02-09,,,na,s23493,non,26-09-11,22-01-15,Langues et Litteratures,female,Université de Pau et des Pays de l'Adour,NA
131,Francois Balanche,,"Se liberer soi-meme, ""ne soumettre personne"". La question de la liberte dans l'oeuvre et les ecrits d'Andre Boucourechliev",Esteban Buch,Buch Esteban,03321056X,"Paris, EHESS",26374889,Musique et musicologie,enCours,14-12-08,,,na,s23498,non,26-09-11,03-04-16,SHS,unknown,EHESS,NA
132,Perrine Beaufils,,"Fela kuti et l'afrobeat. creation, esthetique, ideologie et politique.",Jean Jamin,Jamin Jean,na,"Paris, EHESS",26374889,Anthropologie,enCours,23-10-08,,,na,s23509,non,26-09-11,15-09-11,SHS,female,EHESS,NA
133,Arol enol Alphonse,,Les difficultes de mise en place d'un nouveau systeme policier dans la societe haitienne,Francois Dieu,Dieu Francois,na,Toulouse 1,26404354,Science politique,enCours,10-09-07,,,na,s18599,non,26-09-11,22-01-15,Droit et Science Politique,unknown,Université Toulouse Capitole,NA
134,Tuan Anh An Vo,190210486,Terminologie informatique : approche socioterminologique,Francois Gaudin,Gaudin Francois,26884127,Rouen,26403919,Sciences du langage,soutenue,,01-01-15,2015.0,fr,2015ROUEL010,non,26-09-11,16-12-15,Langues et Litteratures,mostly_male,Université de Rouen Normandie,Français
135,Nasredine Assoul,,La circulation monetaire a Madaure et ses environs pendant les periodes romaines.,Patrick Thollard,Thollard Patrick,29225515,Montpellier 3,26404702,Archeologie,enCours,19-11-07,,,na,s18625,non,26-09-11,19-03-12,SHS,unknown,Université Paul-Valéry - Montpellier 3,NA
136,Samia Amer,,Analyse contrastive de l'opposition de genre en francais et en arabe et application didactique a un corpus d'apprenants fle.,Gabriel Bergounioux,Bergounioux Gabriel,na,Orleans,26402971,Sciences du langage,enCours,14-01-08,,,na,s18642,non,26-09-11,22-01-15,Langues et Litteratures,female,Université d'Orléans,NA
137,Midokpe Perrot (Ahouandogbo),,Le renvoi en cassation,Francis Kernaleguen,Kernaleguen Francis,33499160,Rennes 1,02778715X,Droit prive,enCours,04-03-08,,,na,s18647,non,26-09-11,22-01-15,Droit et Science Politique,unknown,Université de Rennes 1,NA
138,Stephanie Aubert,,Les cronice ab orgine mundi de gonzalo de hinojosa. une chronique universelle ecrite par un eveque castillan au debut du xiv siecle et traduite pour charles v. etude et edition critique partielle.,Denis Menjot,Menjot Denis,28617908,Lyon 2,02640334X,Histoire,enCours,08-04-08,24-11-12,2012.0,na,s18705,non,26-09-11,30-03-16,SHS,female,Université Lumière - Lyon 2,NA
139,Alba cristina Alfaro santana,,La promotion de symptomes sociaux,Pierre-gilles Gueguen,Gueguen Pierre-gilles,na,Paris 8,26403552,Psychologie,enCours,01-10-04,13-09-11,2011.0,na,s17411,non,26-09-11,02-04-12,Psychologie,female,Université Paris 8 - Vincennes - Saint-Denis,NA
140,Ekoue didier Akakovie,,Les activites economiques des collectivites religieuses. analyse juridique.,Isabelle Riassetto,Riassetto Isabelle,69304432,Strasbourg,131056549,Droit prive,enCours,01-11-04,07-12-09,2009.0,na,s17418,non,26-09-11,10-10-14,Droit et Science Politique,unknown,Université de Strasbourg,NA
141,Massama-esso Atani,,Transmission des droits et actions.,Claude Ophele,Ophele Claude,83624902,Poitiers,26403765,Droit prive,enCours,01-02-05,13-07-12,2012.0,na,s17420,non,26-09-11,05-04-16,Droit et Science Politique,unknown,Université de Poitiers,NA
142,Helena Aizen,,Le mouvement des piqueteros. mouvements sociaux et construction communautaire en argentine.,Maurice Duval,Duval Maurice,na,Montpellier 3,26404702,Ethnologie,enCours,01-11-04,,,na,s17422,non,26-09-11,21-01-15,SHS,female,Université Paul-Valéry - Montpellier 3,NA
143,Sami Amer,,"Le francais, langue des affaires au liban. description et suggestions.",Chantal Charnet,Charnet Chantal,60597100,Montpellier 3,26404702,Sociologie,enCours,01-11-04,,,na,s17435,non,26-09-11,21-01-15,SHS,male,Université Paul-Valéry - Montpellier 3,NA
144,Tossou Atchrimi,,La lutte contre le sida au togo. le role de l'etat et de la societe civile. analyse des enjeux.,Gilles Ferreol,Ferreol Gilles,29816769,Poitiers,26403765,Sociologie,enCours,01-11-04,,,na,s17436,non,26-09-11,04-04-16,SHS,unknown,Université de Poitiers,NA
145,Ishdel Addyman,,L'exploration de l'espace imaginaire. les reactions a la nouvelle cosmologie dans les litteratures francaise et anglaise du dix-septieme siecle.,Charles Whitworth,Whitworth Charles,na,Montpellier 3,26404702,Etudes anglophones,enCours,01-11-04,,,na,s17467,non,26-09-11,21-01-15,Langues et Litteratures,unknown,Université Paul-Valéry - Montpellier 3,NA
